Arizona,,,,,New York,,,,,Colorado,,,,,California,,,,,New York - Laguardia,,,
T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb
280.3722222,0,35.30513789,62.59800624,,280.16,0,66.57307666,70,,270.15,0,51.19234369,92,,273.16,0,62.84917636,96,,270.96,0,84.23851356,40
279.2611111,0,36.32797911,62.33283619,,280.16,0,66.57355379,70,,270.15,0,51.19243929,77,,272.56,0,63.87648806,96,,270.96,0,84.23882316,40
279.8166667,0,35.81231366,62.46572907,,280.16,0,66.57402474,70,,269.15,0,52.62887295,77,,272.56,0,63.87636581,96,,270.96,0,84.23912758,40
280.9277778,0,34.80849084,51.26074331,,279.66,0,67.43486117,73,,271.15,0,49.80566752,78,,271.46,0,65.81594674,96,,270.36,0,85.63920903,42
282.5944444,0,33.36911465,38.83355294,,279.16,0,68.30996332,75,,271.15,0,49.80577223,85,,271.46,0,65.81582544,96,,270.36,0,85.63950787,44
280.9277778,0,34.8090978,39.98137717,,279.16,0,68.31040264,81,,272.15,0,48.46626148,92,,271.46,0,65.81570143,96,,269.86,0,86.82891829,46
283.1065853,0,32.94271573,32.82816063,,277.2503182,0.158793846,71.76997232,93,,272.5239928,0.799114631,47.91488238,100,,272.2287782,0.29673906,64.42106298,100,,270.9557239,1.321529392,84.06740826,49
286.6956937,7.096873319,30.13886878,35.38464412,,279.7400939,2.7780577,67.01026167,87,,275.8704236,7.656885199,43.3386848,100,,273.2809094,1.599235881,62.48214222,100,,274.8803305,10.02771571,74.57343279,49
297.41131,23.68983976,23.4059807,31.79302213,,280.999205,4.397785577,64.72764931,87,,277.537527,9.374877225,41.37607778,92,,274.9827552,3.751354301,59.49603262,100,,281.9319117,24.11814158,60.84017564,42
309.0870229,34.93041941,18.1285008,27.45410747,,278.7160443,3.583767602,68.71760943,100,,282.2872536,15.25024818,36.31982426,80,,278.964755,10.05270164,53.08424857,92,,292.2477327,34.61418139,46.72155488,38
314.6716556,41.40567289,16.15141021,25.53632877,,278.7059045,3.696464697,68.72406338,93,,284.7546279,23.84352704,33.72761035,80,,283.2723531,12.85628565,47.39255954,82,,292.3632088,41.03170733,46.18314949,40
316.2391266,45.02998827,15.64841726,24.53376096,,277.9802783,4.192331912,69.9757012,93,,278.0780269,11.85091361,40.64326317,79,,281.3576244,8.424494137,50.06220846,73,,295.5652509,43.17278175,42.79386731,38
319.9664704,44.30670026,14.53132711,19.23254697,,278.19558,4.688199128,69.53224641,93,,277.9856123,5.137907283,41.16868044,63,,281.0087109,6.319463404,50.66923952,70,,291.1379487,40.91968961,47.52619981,40
